06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
Voriconazole,D065819,,Fatty Liver,MESH:D005234,,MTTP,14.73,,17303181
Vincristine,D014750,,"Disease Models, Animal",MESH:D004195,,IL1B,25.43,,27093858
Zoledronic Acid,D000077211,,Salivary Gland Neoplasms,MESH:D012468,,SOX4,16.81,,16762588
corosolic acid,C113861,,Cholangiocarcinoma,MESH:D018281,,PTGS2,5.96,,16818635
Thiourea,D013890,62-56-6,Hemolysis,MESH:D006461,,G6PD,3.47,,5432368|734759
methylmercuric chloride,C004925,115-09-3,Heart Failure,MESH:D006333,,AGT,6.57,,12025466|1330361|20811386
Glyphosate,D000097797,,Movement Disorders,MESH:D009069,,MT1,3.53,,16216453
Gefitinib,D000077156,,"Liver Cirrhosis, Experimental",MESH:D008106,,FOS,53.44,,25380136
ginsenoside F1,C055327,53963-43-2,Disease Progression,MESH:D018450,,RELA,3.96,,34626302|34973135
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Breast Neoplasms,MESH:D001943,,NFKBIA,59.27,,16298037
ferrostatin-1,C573944,,Fibrosis,MESH:D005355,therapeutic,,,,38573338
Genistein,D019833,446-72-0,Alzheimer Disease,MESH:D000544,,VEGFA,38.73,,15732116
bergenin,C006741,477-90-7,Cardiomyopathies,MESH:D009202,,PTGS2,22.36,,11978490
Flutamide,D005485,13311-84-7,Craniofacial Abnormalities,MESH:D019465,,APAF1,22.17,,9753320|9753321
"alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide",C095512,,Fever,MESH:D005334,,STAT3,30.95,,25429137
Flavanones,D044950,,Hyperplasia,MESH:D006965,,HIF1A,5.88,,20526721
Colforsin,D005576,138605-00-2,Breast Neoplasms,MESH:D001943,,RB1,135.72,,14672398|19234134|20948315
Metformin,D008687,657-24-9,Leishmaniasis,MESH:D007896,,MCL1,16.72,,26670606
Rotenone,D012402,83-79-4,Lipodystrophy,MESH:D008060,,BSCL2,2.68,,25462787
methylmercuric chloride,C004925,115-09-3,Stomach Neoplasms,MESH:D013274,,PPIA,72.15,,19424620
Thimerosal,D013849,54-64-8,Thoracic Diseases,MESH:D013896,,IFT80,6.81,,17468754
Uric Acid,D014527,69-93-2,"Radiation Injuries, Experimental",MESH:D011833,,TNF,33.1,,11121210
potassium chromate(VI),C027373,7789-00-6,Heart Valve Diseases,MESH:D006349,,CASP3,4.49,,21335463
ircinin-1,C506002,,Adenoma,MESH:D000236,,BCL2L1,7.1,,10426811
Isoflavones,D007529,,"Neoplasm Recurrence, Local",MESH:D009364,,KLK3,17.87,,16984552
amlexanox,C045742,,"Anemia, Hemolytic",MESH:D000743,,GCLC,5.95,,10515893
2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,154447-36-6,Iron Overload,MESH:D019190,,TF,5.8,,11110675
titanium dioxide,C009495,13463-67-7,Schizophrenia,MESH:D012559,,SLC6A4,54.09,,18583979
Ammonium Chloride,D000643,12125-02-9,Motor Skills Disorders,MESH:D019957,,AKAP5,2.53,,18711127
8-Bromo Cyclic Adenosine Monophosphate,D015124,23583-48-4,Neu Laxova syndrome,MESH:C536405,,PSAT1,4.54,616038,
microcystin RR,C063855,,"Kidney Failure, Chronic",MESH:D007676,,ACE,5.08,,10099885|7593601
Poly I-C,D011070,,"Liver Cirrhosis, Biliary",MESH:D008105,,IL12B,24.43,,20639880
cupric chloride,C029892,7447-39-4,Psoriasis,MESH:D011565,,VEGFA,10.55,,16385345
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,Chemical and Drug Induced Liver Injury,MESH:D056486,,FASN,29.18,,25226513
Diethylnitrosamine,D004052,55-18-5,Breast Neoplasms,MESH:D001943,,TERT,222.0,,23535731
Topotecan,D019772,123948-87-8,Nausea,MESH:D009325,,ABCB1,11.96,,21840870
A-83-01,C507011,,Cutis Laxa,MESH:D003483,,ELN,5.49,,12189163
perfluorooctane sulfonic acid,C076994,1763-23-1,Amyotrophic lateral sclerosis 1,MESH:C531617,,SNAI1,32.81,,11796754
"N-(N-(3,5-difluorophenacetyl)alanyl)phenylglycine tert-butyl ester",C419410,,Q Fever,MESH:D011778,,LDLR,4.62,,16469060
Particulate Matter,D052638,,Pancreatic Neoplasms,MESH:D010190,,TRP53,27.18,,23873029|26390243
Ethyl Methanesulfonate,D005020,62-50-0,Fucosidosis,MESH:D005645,,FUCA1,4.67,230000,
bisphenol S,C543008,,Cholestasis,MESH:D002779,,TMEM117,4.38,,26881866
Ursolic Acid,D000097245,,"Cholestasis, Extrahepatic",MESH:D001651,,JUN,102.17,,28789951
4-((alpha-L-rhamnosyloxy)benzyl)isothiocyanate,C000600309,,"Cell Transformation, Neoplastic",MESH:D002471,,SOD2,24.01,,20516118|21742780|23964924|25448439|9067545
Silver Compounds,D018030,,"OSTEOGENESIS IMPERFECTA, TYPE XVII",OMIM:616507,,SPARC,5.19,616507,
Eicosanoids,D015777,,"Mesothelioma, Malignant",MESH:D000086002,,IL6,7.09,,25162674
chlorophyllin,C007020,15611-43-5,Aortic Rupture,MESH:D001019,,MMP2,9.43,,18178469
Tetrachlorodibenzodioxin,D013749,1746-01-6,Dermatopathia pigmentosa reticularis,MESH:C535374,,KRT14,3.57,125595,
perfluorodecanoic acid,C036567,335-76-2,Necrosis,MESH:D009336,,IL6,4.55,,7608651
Polyethylene Glycols,D011092,,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,ITGB1,11.61,,21478906
"2,6-dichloro-(1,4)benzoquinone",C582717,,Colonic Neoplasms,MESH:D003110,,MTOR,24.92,,30705370
hexabromobenzene,C017363,87-82-1,Chemical and Drug Induced Liver Injury,MESH:D056486,,GSR,5.48,,25226513|28069987
"24,25-epoxycholesterol",C028358,68138-65-8,"Shock, Hemorrhagic",MESH:D012771,,ICAM1,4.79,,21192278
dehydroeffusol,C573784,,Ovarian Neoplasms,MESH:D010051,,MAPK1,13.51,,16211241
albicanol,C438910,54632-04-1,"Carcinoma, Renal Cell",MESH:D002292,,CAT,19.56,,39294077
titanium dioxide,C009495,13463-67-7,Pneumonia,MESH:D011014,,AGT,4.43,,28960804
"4-chloro-N-((4-(1,1-dimethylethyl)phenyl)methyl)-3-ethyl-1-methyl-1H-pyrazole-5-carboxamide",C429623,119168-77-3,Colonic Neoplasms,MESH:D003110,,SERTAD1,23.2,,18097604
SB 203580,C093642,,Pulmonary Emphysema,MESH:D011656,,HMOX1,23.71,,10631150
2-methyl-2H-pyrazole-3-carboxylic acid (2-methyl-4-o-tolylazophenyl)amide,C511621,,"Carcinoma, Lobular",MESH:D018275,,CDH1,3.42,,17660459|8557030
bisphenol F,C000611646,,Colorectal Neoplasms,MESH:D015179,,IPP,155.42,,25944804
naoxintong,C571443,,"Kidney Failure, Chronic",MESH:D007676,,IL6,19.83,,19539174
Oxidopamine,D016627,1199-18-4,Colonic Neoplasms,MESH:D003110,,TNF,42.59,,12842827|19028472
Amitrole,D000640,61-82-5,Gastrointestinal Stromal Tumors,MESH:D046152,,CC2D2A,5.31,,27793025
furan,C039281,110-00-9,Pain,MESH:D010146,,EDN1,7.83,,19429182|20042899
procyanidin,C017674,4852-22-6,"Mammary Neoplasms, Experimental",MESH:D008325,,HMOX1,10.65,,16319139
Chlorpyrifos,D004390,2921-88-2,Arteriovenous Malformations,MESH:D001165,,RASA1,3.81,,14639529
notoginsenoside R1,C072936,,Respiratory Distress Syndrome,MESH:D012128,,CCL2,2.8,,25070658
Manganese,D008345,7439-96-5,Status Epilepticus,MESH:D013226,,NOS1,15.09,,20149694
Acetic Acid,D019342,64-19-7,Hyperplasia,MESH:D006965,,TGFB1,10.87,,20172950
1-methylphenanthrene,C041507,832-69-9,Barrett Esophagus,MESH:D001471,,MCL1,4.68,,21127259
Dimethyl Sulfoxide,D004121,67-68-5,Proteinuria,MESH:D011507,,FAS,1.94,,26590112|33632240|36999444
Cholesterol,D002784,57-88-5,Parkinson Disease,MESH:D010300,,NECTIN2,16.7,,25475535
Protein Kinase Inhibitors,D047428,,Breast Neoplasms,MESH:D001943,,FASN,54.31,,17089011|18281512
Diuron,D004237,330-54-1,Marshall-Smith syndrome,MESH:C536026,,NFIX,4.49,602535,
Gefitinib,D000077156,,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,TNF,26.5,,15337792|29497291
sulindac derivative IND 12,C452601,,Autistic Disorder,MESH:D001321,,HRAS,7.65,,8098541
Norepinephrine,D009638,51-41-2,Heart Diseases,MESH:D006331,,EPO,8.34,,16707910
Ursolic Acid,D000097245,,"Liver Cirrhosis, Biliary",MESH:D008105,,NFKB1,24.14,,21399635
Melphalan,D008558,148-82-3,Autism Spectrum Disorder,MESH:D000067877,,CYP1A2,15.73,,35663546
"2,2',4,4',5-brominated diphenyl ether",C477694,,Pneumonia,MESH:D011014,,CCL4,30.24,,21625544
Okadaic Acid,D019319,78111-17-8,Basal Cell Carcinoma,MESH:D002280,,SYNJ1,68.37,,36428691
Copper,D003300,7440-50-8,"Liver Cirrhosis, Experimental",MESH:D008106,,DAO,470.88,,25380136
Cannabidiol,D002185,13956-29-1,Dementia,MESH:D003704,,APP,2.34,,22300406
Hydrogen Cyanide,D006856,74-90-8,"HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE",OMIM:614480,,GPD1,5.39,614480,
Arsenic,D001151,7440-38-2,Autistic Disorder,MESH:D001321,,CHRNA4,115.42,,15046869
cobaltous chloride,C018021,7646-79-9,Substance Withdrawal Syndrome,MESH:D013375,,MAPK3,5.52,,17549049
Rotenone,D012402,83-79-4,"Metabolism, Inborn Errors",MESH:D008661,,ABCD4,5.65,,22922874
"2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid",C070066,17087-36-4,Pulmonary Embolism,MESH:D011655,,CAT,3.67,,2510358
Ammonium Chloride,D000643,12125-02-9,Crohn Disease,MESH:D003424,,TNF,29.78,,10700533|21829567
cifenline,C032151,53267-01-9,"Carcinoma, Renal Cell",MESH:D002292,,TNFSF10,4.12,,20403343
Piperonyl Butoxide,D010882,51-03-6,Melanoma,MESH:D008545,,EPB41,13.91,,17145863
Sodium Benzoate,D020160,,Soft Tissue Neoplasms,MESH:D012983,,TNF,3.37,,16767912|17203757
Glycine,D005998,56-40-6,Stomach Neoplasms,MESH:D013274,,MAPK3,17.12,,17003101
Cellulose,D002482,9004-34-6,Prostatic Neoplasms,MESH:D011471,,SPOP,160.15,,22610119|29295717|29610475
Ascorbic Acid,D001205,50-81-7,Inflammation,MESH:D007249,,PARP1,34.17,,18261157
etoxazole,C508136,,Multiple Organ Failure,MESH:D009102,,TNF,3.5,,10890648|9696492
Pyrethrins,D011722,,Chemical and Drug Induced Liver Injury,MESH:D056486,,PPARA,7.34,,24385052|38181850
Doxorubicin,D004317,23214-92-8,Neoplasm Invasiveness,MESH:D009361,,DEK,95.49,,21291860|27811057
Mecamylamine,D008464,60-40-2,Melanoma,MESH:D008545,,STIP1,8.05,,22535842
myricetin,C040015,529-44-2,Cardiomyopathies,MESH:D009202,,CAT,34.94,,11800590
Ibuprofen,D007052,15687-27-1,Hypertension,MESH:D006973,,IGF1,26.54,,19502719|22228705
BLX 1002,C542815,,Insulin Resistance,MESH:D007333,,PRKAA2,13.89,,19934007
"3,5-bis(2-fluorobenzylidene)piperidin-4-one",C524042,,Fibrous Dysplasia of Bone,MESH:D005357,,FOS,4.43,,7739708
Dexamethasone,D003907,50-02-2,Birth Weight,MESH:D001724,,ADRB1,2.16,,23202124
Piperonyl Butoxide,D010882,51-03-6,Prostatic Neoplasms,MESH:D011471,,CYP1A1,98.36,,11275366|17919073
"1,2-Dimethylhydrazine",D019813,540-73-8,Hepatomegaly,MESH:D006529,,ATG7,19.27,,26483381
Decitabine,D000077209,2353-33-5,"Carcinoma, Transitional Cell",MESH:D002295,,ESR2,27.96,,16700038
SC 560,C115461,,"Osteoporosis, Postmenopausal",MESH:D015663,,TNF,19.27,,9032749
isosakuranetin,C538973,,Job Syndrome,MESH:D007589,,IFNG,5.36,,16112032
3-methyladenine,C025946,5142-23-4,Nephrosis,MESH:D009401,,DDIT3,7.72,,16400006
lysophosphatidic acid,C032881,,Thrombocytopenia,MESH:D013921,,EPO,6.96,,8260696
beta-Naphthoflavone,D019324,6051-87-2,Chemical and Drug Induced Liver Injury,MESH:D056486,,IL11,52.79,,11421492
iodopravadoline,C094023,,"Leukemia, Myeloid",MESH:D007951,,VEGFA,3.37,,21535412
hexabromocyclododecane,C089796,25637-99-4,"Hypomagnesemia 4, Renal",MESH:C567127,,EGF,3.72,611718,
Aflatoxin B1,D016604,1162-65-8,Disease Progression,MESH:D018450,,SYMPK,145.63,,21364753
Dobutamine,D004280,34368-04-2,Esophageal Neoplasms,MESH:D004938,,PTGS2,14.71,,11059772|16322294|17707579
Cisplatin,D002945,15663-27-1,Brain Neoplasms,MESH:D001932,,MGMT,11.74,,20131314
Palmitic Acid,D019308,57-10-3,Breast Neoplasms,MESH:D001943,,NCOA2,135.73,,20332317
Ofloxacin,D015242,82419-36-1,"Melanoma, Experimental",MESH:D008546,,PXN,4.04,,18492274
allyl sulfide,C038491,592-88-1,Prostatic Neoplasms,MESH:D011471,,HMOX1,80.37,,25246272
diisodecyl phthalate,C042080,26761-40-0,"Infertility, Female",MESH:D007247,,MAPK3,25.25,,21177758
Oleic Acid,D019301,112-80-1,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,CYP1A2,10.25,,22674224
Dietary Fats,D004041,,"Carcinoma, Hepatocellular",MESH:D006528,,NFKBIA,258.74,,22022477
8-bromocyclic GMP,C016276,31356-94-2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,TP53,3.04,,23334668
Soot,D053260,,Prostatic Neoplasms,MESH:D011471,,HSPA1A,216.01,,15764345
Ozone,D010126,10028-15-6,Dermatomyositis,MESH:D003882,,C2,2.01,,3501473
Isoflurophate,D007531,55-91-4,Thyroid Neoplasms,MESH:D013964,,IL1B,18.5,,26037280
Sirolimus,D020123,,Spinal Cord Injuries,MESH:D013119,,BECN1,32.69,,29793971
ciji-hua'ai-baosheng,C000628468,,Edema,MESH:D004487,,CASP3,16.5,,19874808
Dimethoate,D004117,60-51-5,Hepatitis,MESH:D006505,,ALB,2.76,,21851314
Pregabalin,D000069583,,"Dermatitis, Allergic Contact",MESH:D017449,,TNF,2.29,,15849067
Budesonide,D019819,51333-22-3,Autoimmune Diseases,MESH:D001327,,IFNG,14.17,,19077085|9647229
erbstatin,C048212,100827-28-9,Cardiomegaly,MESH:D006332,,HMOX1,4.41,,15226216
Chlorodiphenyl (54% Chlorine),D020111,11097-69-1,"Nevus, Sebaceous of Jadassohn",MESH:D054000,,KRAS,11.62,163200,22683711
withaferin A,C009684,5119-48-2,Psychomotor Disorders,MESH:D011596,,MECP2,4.09,,20098342
tributyltin,C011559,688-73-3,Lung Injury,MESH:D055370,,TNF,9.26,,2518282|26243812|34255241
decamethrin,C017180,52820-00-5,Hypokalemic Periodic Paralysis,MESH:D020514,,CACNA1S,3.3,,11912116|19822448
Berberine,D001599,2086-83-1,"Mammary Neoplasms, Animal",MESH:D015674,,FABP4,30.46,,16316942
Doxorubicin,D004317,23214-92-8,"Colitis, Ulcerative",MESH:D003093,,STAT3,20.15,,18438405|20228799
Lidocaine,D008012,137-58-6,Stomach Neoplasms,MESH:D013274,,CDKN2A,31.24,,16367923
4-phenylbutyric acid,C075773,1821-12-1,"Carcinoma, Hepatocellular",MESH:D006528,,TP53,84.63,114550,17191126|18477611|22675488|25822088|8033108|9029167
Gossypol,D006072,303-45-7,Brain Ischemia,MESH:D002545,,MAPK3,31.99,,17901229
Temozolomide,D000077204,85622-93-1,Glioblastoma,MESH:D005909,,DUSP6,30.85,,21499306
tinuvin,C016151,3896-11-5,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464,,BIRC5,8.02,,16254145
oxymatrine,C037573,16837-52-8,Genetic Predisposition to Disease,MESH:D020022,,IL1B,10.88,,22467534
Propylthiouracil,D011441,51-52-5,Neoplasm Invasiveness,MESH:D009361,,HRAS,50.97,,23877152
Sildenafil Citrate,D000068677,,Stomach Neoplasms,MESH:D013274,,PPARG,17.27,,15492468|19140230
shogaol,C040115,555-66-8,Pancreatic Neoplasms,MESH:D010190,,CTNNB1,42.66,,18223216
Cisplatin,D002945,15663-27-1,Ureteral Obstruction,MESH:D014517,,AGT,26.07,,26207612
Polychlorinated Biphenyls,D011078,,Fetal Death,MESH:D005313,,NFE2L2,2.26,,29255069
Quercetin,D011794,117-39-5,Autism Spectrum Disorder,MESH:D000067877,,BDNF,180.97,,24781735
propiconazole,C045950,60207-90-1,"Renal Insufficiency, Chronic",MESH:D051436,,LCN2,2.85,,24714768
"2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide",C120227,,Lung Neoplasms,MESH:D008175,,NPPA,46.85,,18717826
1-Butanol,D020001,71-36-3,Lung Diseases,MESH:D008171,,VEGFA,6.18,,23618901
Triterpenes,D014315,,Parkinson Disease,MESH:D010300,,HMOX1,20.03,,21318773
Chitosan,D048271,9012-76-4,Trigeminal Neuralgia,MESH:D014277,,IL1B,17.37,,27093858
fluorotelomer alcohols,C033729,,Heat Stroke,MESH:D018883,,IL6,17.58,,24039931
Sirolimus,D020123,,"Arthritis, Rheumatoid",MESH:D001172,,TNF,67.21,,12566094|2001072|22450443|34459104|8391952
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,C093973,,Reperfusion Injury,MESH:D015427,,TLR4,151.31,,25780291|27064547
Dactinomycin,D003609,50-76-0,Gallbladder Neoplasms,MESH:D005706,,BCL2,9.64,,16904648
hydroxycobalamin(c-lactam),C071541,,Stomach Neoplasms,MESH:D013274,,SOD2,3.66,,10853026|14503839|19424620|25279216
Ascorbic Acid,D001205,50-81-7,Mouth Neoplasms,MESH:D009062,,GAPDH,50.93,,15274141
Endosulfan,D004726,115-29-7,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464,,ALOX5,6.25,,19503090|19823023
LY 293111,C094099,,Sepsis,MESH:D018805,,MAPK3,11.91,,15489642
dicyclanil,C121718,,Cone-Rod Dystrophy 12,MESH:C567206,,PROM1,5.83,612657,
camphene,C019286,79-92-5,Sarcoidosis,MESH:D012507,,SOD2,5.0,,10673208
"2,3,7,8-tetrachlorodibenzofuran",C014211,51207-31-9,Diabetic Angiopathies,MESH:D003925,,HP,5.61,,16597321
8-Bromo Cyclic Adenosine Monophosphate,D015124,23583-48-4,Gastrointestinal Stromal Tumors,MESH:D046152,,CDON,4.24,,27793025
LY2784544,C581039,,Breast Neoplasms,MESH:D001943,,CCND1,7.13,,12839951|17255770|19636701|20948315|23839043|25267515
Azoxymethane,D001397,25843-45-2,"Mesothelioma, Malignant",MESH:D000086002,,MIR126,60.31,,21483773
Nitric Oxide,D009569,10102-43-9,Glomerulonephritis,MESH:D005921,,FAS,33.35,,21880982|36999444
Losartan,D019808,114798-26-4,Meningoencephalitis,MESH:D008590,,PLAT,3.75,,1430592
amyloid beta-protein (25-35),C074636,,Lung Injury,MESH:D055370,,HMOX1,5.43,,17365036
ascofuranone,C006640,,Trigeminal Neuralgia,MESH:D014277,,MAPK3,29.24,,27093858
cyanoginosin LR,C057862,,Hemolysis,MESH:D006461,,SOD1,2.36,,25247420
Air Pollutants,D000393,,Wounds and Injuries,MESH:D014947,,LUM,5.94,,24367547
"9,10-Dimethyl-1,2-benzanthracene",D015127,57-97-6,Adenoma,MESH:D000236,,TP53,5.52,,21946351
anethole,C006578,104-46-1,Fetal Weight,MESH:D020567,,NFE2L2,3.38,,35204234
bakuchiol,C012765,10309-37-2,COVID-19,MESH:D000086382,,IL1B,3.2,,32171193
Phenylmercuric Acetate,D010662,62-38-4,Lung Diseases,MESH:D008171,,IGF2R,2.62,,20620343|21433279
2-Acetylaminofluorene,D015073,53-96-3,Non-alcoholic Fatty Liver Disease,MESH:D065626,,IL1B,36.35,,32613381
Valproic Acid,D014635,99-66-1,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,AXL,65.29,,22751098
"16-hydroxycleroda-3,13(14)-dien-15,16-olide",C072581,92593-91-4,Precancerous Conditions,MESH:D011230,,TRP53,5.27,,21317887
Platelet Activating Factor,D010972,,Urticaria,MESH:D014581,,SELE,11.93,,12121561
"(3R)-((2,3-dihydro-5-methyl-3-((4-morpholinyl)methyl)pyrrolo-(1,2,3-de)-1,4-benzoxazin-6-yl)(1-naphthalenyl))methanone",C070417,,Glomerulonephritis,MESH:D005921,,TNF,11.96,,10910440|9403216
"Linoleic Acids, Conjugated",D044243,,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,CXCL8,18.8,,15337792|23099361|28864214
ANFT,C024885,38514-71-5,Serum Sickness,MESH:D012713,,ALB,5.28,,350256|9380243
Ammonium Chloride,D000643,12125-02-9,"Carcinoma, Hepatocellular",MESH:D006528,,AURKA,239.38,,28284560
Carmustine,D002330,154-93-8,"Mesothelioma, Malignant",MESH:D000086002,,TP53,42.08,,26928227
Ethinyl Estradiol,D004997,57-63-6,"Liver Cirrhosis, Experimental",MESH:D008106,,CASP1,578.86,,25380136
4-vinyl-1-cyclohexene dioxide,C012606,,Breast Neoplasms,MESH:D001943,,BAX,51.01,,22572619
trichostatin A,C012589,58880-19-6,Anemia,MESH:D000740,,TNFRSF10A,5.07,,19652058
methylxanthine,C008514,28109-92-4,"Osteoporosis, Postmenopausal",MESH:D015663,,TGFB1,5.42,,10750555
Astemizole,D016589,68844-77-9,Chemical and Drug Induced Liver Injury,MESH:D056486,,CFH,7.36,,25231249
zinc chloride,C016837,7646-85-7,HHH syndrome,MESH:C538380,,SLC25A15,5.39,238970,
"4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid",C584509,,Endometriosis,MESH:D004715,,CFD,18.72,,21063030
Nomifensine,D009627,24526-64-5,Pulmonary Embolism,MESH:D011655,,CAT,3.26,,2510358
Cullen corylifolium extract,C000612485,,Cholestasis,MESH:D002779,,ABCC3,12.39,,22461449
"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",C000611729,,"Diabetes Mellitus, Transient Neonatal, 2",MESH:C563672,,ABCC8,4.39,610374,
"5-amino-7-(cyclohexylamino)-1-ethyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",C553926,,"Mastocytosis, Systemic",MESH:D034721,,HMOX1,4.88,,17420286
juglone,C005134,481-39-0,Dermatitis,MESH:D003872,,PARP1,3.28,,20561897
Acetates,D000085,,Venous Thromboembolism,MESH:D054556,,TNF,3.52,,22473048
5-chloro-1-(4-chlorobenzyl)-3-(phenylthio)indole-2-carboxylic acid,C479635,,Prostatic Neoplasms,MESH:D011471,,LEP,10.37,,15042602
Tacrolimus,D016559,109581-93-3,Ventricular Remodeling,MESH:D020257,,SMAD3,12.2,,16635409
cypermethrin,C017160,52315-07-8,Stevens-Johnson Syndrome,MESH:D013262,,PARP1,2.14,,25811541
Scorpion Venoms,D012604,,Precancerous Conditions,MESH:D011230,,CAT,2.67,,14580687
2-chloroethyl ethyl sulfide,C031278,693-07-2,"Psychoses, Substance-Induced",MESH:D011605,,SLC6A3,10.27,,12931138
genipin,C007834,6902-77-8,Inflammation,MESH:D007249,,NLRP3,27.35,,12032915|22325453
perfluorooctane sulfonic acid,C076994,1763-23-1,Bradycardia,MESH:D001919,,CYP1A1,36.07,,26988683
Vancomycin,D014640,1404-90-6,Hyperoxaluria,MESH:D006959,,IL6,6.96,,16284884
sodium arsenite,C017947,13768-07-5,"Cutis laxa, recessive",MESH:C536225,,FBLN5,3.48,,12189163
4-vinyl-1-cyclohexene dioxide,C012606,,Stroke,MESH:D020521,,SOD1,4.99,,10698074
sinomenine,C009271,115-53-7,"Dermatitis, Atopic",MESH:D003876,,IL1B,11.58,,18249437
Methadone,D008691,76-99-3,Ureteral Obstruction,MESH:D014517,,CCL2,3.08,,28318631
Iron-Dextran Complex,D007505,9004-66-4,Meningomyelocele,MESH:D008591,,SOD1,8.99,,22972774
maduramicin,C018091,,Myocarditis,MESH:D009205,,TNFRSF4,9.72,,12031769
SB 239063,C406525,,Dyslipidemias,MESH:D050171,,PPARG,3.31,,16168052
Ozone,D010126,10028-15-6,Autistic Disorder,MESH:D001321,,MARK2,105.35,,35982159
pantogab,C016030,1977-33-9,"Infarction, Middle Cerebral Artery",MESH:D020244,,JUNB,4.3,,12374626
bisphenol S,C543008,,Pulmonary Fibrosis,MESH:D011658,,FGF1,9.31,,16324872
Progesterone,D011374,,Obesity,MESH:D009765,,HSD11B1,82.06,,17628001|21786805
coagulin-L,C000593591,,COVID-19,MESH:D000086382,,IL10,48.38,,31986264|32161940
Mustard Gas,D009151,505-60-2,Marfan Syndrome,MESH:D008382,,FBN1,20.68,154700,15235604|17657824|18178469|18212506|19430350|21909107|22772368
arsenite,C015001,15502-74-6,Glioblastoma,MESH:D005909,,VEGFA,39.28,,16356833
Vorinostat,D000077337,,Leukopenia,MESH:D007970,,TPMT,5.09,,18662289|22535280|25108385
bisindolylmaleimide,C088060,119139-23-0,Uterine Cervical Neoplasms,MESH:D002583,,VEGFA,12.37,,26432044
Aflatoxin B1,D016604,1162-65-8,"Carcinoma, Squamous Cell",MESH:D002294,,NOTCH1,43.67,,27923803
Disulfiram,D004221,97-77-8,Hyperkinesis,MESH:D006948,,FOS,4.14,,18355967
Sunitinib,D000077210,,Gliosis,MESH:D005911,,ITGA5,1.98,,12851778
Mirtazapine,D000078785,,Leydig Cell Tumor,MESH:D007984,,PRL,8.46,,4092719
"7,12-benz(a)anthraquinone",C077646,2498-66-0,Breast Neoplasms,MESH:D001943,,SOD2,21.0,,17965603|19385967|19756960|20562527
Uranium,D014501,7440-61-1,Tobacco Use Disorder,MESH:D014029,,LHB,3.1,,12893845
"2,3,5,4'-tetrahydroxystilbene 2-O-glucopyranoside",C093026,133186-49-9,Polycystic Ovary Syndrome,MESH:D011085,,BAX,6.47,,21062263
Dihydrotestosterone,D013196,521-18-6,Breast Neoplasms,MESH:D001943,,CYP3A4,101.16,,15496535
Potassium Dichromate,D011192,7778-50-9,Breast Neoplasms,MESH:D001943,,RELA,84.87,,20154269
sodium bichromate,C016104,10588-01-9,Head and Neck Neoplasms,MESH:D006258,,AREG,13.59,,15342401
"2,6-dinitrotoluene",C023514,606-20-2,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,ICAM1,3.18,,29329563
Dicofol,D004010,115-32-2,"Cell Transformation, Neoplastic",MESH:D002471,,NFKB1,8.23,,20516118|28823542
titanium dioxide,C009495,13463-67-7,Ovarian Neoplasms,MESH:D010051,,MACIR,40.34,,30705370
alpha-Chlorohydrin,D000517,96-24-2,"Pregnancy Complications, Cardiovascular",MESH:D011249,,FAS,6.4,,10716473
rosemary oil,C053775,8000-25-7,Hemochromatosis,MESH:D006432,,TNF,4.31,,16793930
arsenite,C015001,15502-74-6,Aicardi-Goutieres syndrome,MESH:C535607,,ADAR,4.57,615010,23001123
Trinitrobenzenesulfonic Acid,D014302,2508-19-2,Brain Injuries,MESH:D001930,,JUN,49.47,,21549006
KC7F2 compound,C545729,,Vascular Diseases,MESH:D014652,,TNF,3.88,,14965870
Tetradecanoylphorbol Acetate,D013755,16561-29-8,Autistic Disorder,MESH:D001321,,PRKCB,92.18,,16027742
resolvin D1,C518399,,Trichuriasis,MESH:D014257,,IFNG,12.99,,20864659
