06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
"Linoleic Acids, Conjugated",D044243,,Silicosis,MESH:D012829,,IL1B,3.63,,23640035
terbutylazine,C037565,5915-41-3,"Leukemia, Promyelocytic, Acute",MESH:D015473,,AKT1,3.4,,12556562
Citalopram,D015283,59729-33-8,Hyperlipoproteinemia Type II,MESH:D006938,,LPL,3.49,,16030523
Allopurinol,D000493,315-30-0,"Carcinoma, Hepatocellular",MESH:D006528,,FOS,47.74,,28284560|9029167
Trichloroethylene,D014241,79-01-6,Weight Gain,MESH:D015430,,PPARD,4.57,,20176998
N-ethylpentylone,C000621430,,Aortic Valve Insufficiency,MESH:D001022,,NPPA,11.18,,21216836
"1,3-dihydroxy-4,4,5,5-tetramethyl-2-(4-carboxyphenyl)tetrahydroimidazole",C079393,145757-47-7,Metabolic Syndrome,MESH:D024821,,TRIB3,4.19,,18497449
"1-cyclopropyl-4-(4-((5-methyl-3-(3-(4-(trifluoromethoxy)phenyl)-1,2,4-oxadiazol-5-yl)-1H-pyrazol-1-yl)methyl)pyridin-2-yl)piperazine",C000591541,,"Carcinoma, Intraductal, Noninfiltrating",MESH:D002285,,HIF1A,12.29,,20526721
"2-amino-3-methylimidazo(4,5-f)quinoline",C029216,76180-96-6,"Fractures, Bone",MESH:D050723,,TGFBR2,4.38,,20358619
"2,6-dichloro-(1,4)benzoquinone",C582717,,Pancreatic Neoplasms,MESH:D010190,,KRAS,18.16,260350,14520703|19424582|21699781|24694877|25961927|26390243
3-aminobenzanthrone,C475568,,Weight Gain,MESH:D015430,,TNF,9.93,,20521320
Fenitrothion,D005278,122-14-5,"Hernia, Diaphragmatic",MESH:D006548,,THRA,14.57,,11685700
olaparib,C531550,,"Optic Atrophy, Hereditary, Leber",MESH:D029242,,IL1B,3.71,,7979221
Ethyl Methanesulfonate,D005020,62-50-0,"Deafness, Autosomal Dominant 21",MESH:C564634,,RIPOR2,4.67,607017,
Nandrolone Decanoate,D000077603,360-70-3,"Hypertrophy, Left Ventricular",MESH:D017379,,AGTR2,9.23,,20467270
corosolic acid,C113861,,Heinz Body Anemias,MESH:C563030,,HBB,9.19,140700,5420592|8704193
cyclopamine,C000541,4449-51-8,Obesity,MESH:D009765,,MRC1,14.2,,29035695
Ethinyl Estradiol,D004997,57-63-6,"Liver Cirrhosis, Experimental",MESH:D008106,,PTAFR,578.86,,25380136
Air Pollutants,D000393,,Lung Neoplasms,MESH:D008175,,CES1F,72.05,,17311802
Peanut Oil,D000074241,,Fibrosis,MESH:D005355,,IL1B,3.11,,25388157
trilostane,C009954,13647-35-3,Cerebral Palsy,MESH:D002547,,POMC,4.88,,8980841
Graphite,D006108,7782-42-5,Autistic Disorder,MESH:D001321,,IL4,34.02,,16360218
Benzo(a)pyrene,D001564,50-32-8,Prostatic Neoplasms,MESH:D011471,,FBXO44,370.69,,17199135
Endosulfan,D004726,115-29-7,"Carcinoma, Squamous Cell",MESH:D002294,,PYCARD,36.31,,16778195
asparanin A,C540172,,Chronic recurrent multifocal osteomyelitis,MESH:C535456,,IL1R1,5.54,259680,
"24,25-epoxycholesterol",C028358,68138-65-8,Atherosclerosis,MESH:D050197,,NOS3,16.39,,12677255|20720404
"3,3',4,5'-tetrahydroxystilbene",C041525,4339-71-3,Osteolysis hereditary multicentric,MESH:C536051,,MMP2,5.21,259600,17400654
vinclozolin,C025643,50471-44-8,Meretoja syndrome,MESH:C537459,,GSN,3.91,105120,
Testosterone,D013739,58-22-0,Hyperinsulinism,MESH:D006946,,INSR,10.39,,10949030|18411068
Mineral Oil,D008899,8020-83-5,Disease Progression,MESH:D018450,,ESR1,3.8,,20104649
7-hydroxymethotrexate,C011864,5939-37-7,Chromosome Aberrations,MESH:D002869,marker/mechanism,,,,19426680
cadmium telluride,C028337,1306-25-8,Ventricular Remodeling,MESH:D020257,,NFE2L2,3.17,,29353218
"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,Heart Failure,MESH:D006333,,MIR942,8.42,,36071497
Pyruvates,D011773,,Coxsackievirus Infections,MESH:D003384,,TNF,4.29,,25396421
Ursolic Acid,D000097245,,Graves Disease,MESH:D006111,,TGFB1,10.84,,33132244
bifenthrin,C099952,82657-04-3,Asthma,MESH:D001249,,BCL2,35.59,,18357729
2-amino-6-(2-(cyclopropylmethoxy)-6-hydroxyphenyl)-4-piperidin-4-yl nicotinonitrile,C501280,,"Abortion, Spontaneous",MESH:D000022,,IL1B,3.5,,18539642
Silver,D012834,7440-22-4,Heart Valve Diseases,MESH:D006349,,CASP3,10.05,,21335463
Nifedipine,D009543,21829-25-4,Coronary Restenosis,MESH:D023903,,TNF,2.74,,16319143
Methylcholanthrene,D008748,56-49-5,Hyperalgesia,MESH:D006930,,IL6,4.66,,10401557|18652822|7582491
8-oxoberberine,C103789,,"Diabetes Mellitus, Type 1",MESH:D003922,,IL6,14.63,222100,
Methyl Methanesulfonate,D008741,66-27-3,Heart Failure,MESH:D006333,,FASN,3.43,,26670611
proadrenomedullin (9-20),C108283,,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",OMIM:157300,,TNF,5.49,157300,
lactacystin,C067713,133343-34-7,Glomerulonephritis,MESH:D005921,,AGT,25.18,,11459117
N-benzyloxycarbonylprolylprolinal,C038541,86925-97-5,Endomyocardial Fibrosis,MESH:D004719,,ACE2,7.97,,19221212
Ganciclovir,D015774,82410-32-0,"Lymphoma, Non-Hodgkin",MESH:D008228,,BCL2,3.09,,26239085|3287162
Lipopolysaccharides,D008070,,"Lipid Metabolism, Inborn Errors",MESH:D008052,,LIPC,6.05,,15292318|1671786|1883393
bisphenol A,C006780,80-05-7,Lung Neoplasms,MESH:D008175,,CEACAM1,18.32,,21552421
Naproxen,D009288,22204-53-1,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,AKR1C1,11.96,,17094902
caffeic acid phenethyl ester,C055494,104594-70-9,Arsenic Poisoning,MESH:D020261,,IL1B,14.75,,16835338
JP8 aviation fuel,C098607,,"Arthritis, Juvenile",MESH:D001171,,FAM20A,90.45,,19565504
zinc nitrate,C042103,7779-88-6,Neuroblastoma,MESH:D009447,,TNF,3.83,,34626302
Lipopolysaccharides,D008070,,Ectopia Lentis,MESH:D004479,,FBN1,3.97,,22772368
Testosterone,D013739,58-22-0,Edema,MESH:D004487,,INS,14.67,,15628829
"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane",C404910,2971-36-0,Urinary Bladder Neoplasms,MESH:D001749,,TNF,18.53,,1674182
